Category,Title,Offer,Card Type,Detail URL
"Hotels","Fortress Resort & Spa","25% Savings at Fortress & Spa for double & triple room booking on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/fortress-resort-and-spa"
"Hotels","Boutique Collection by Amaya","30% Savings at Boutique Collection by Amaya on double and triple room bookings on half board & full Board Basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/boutique-collection-by-amaya"
"Hotels","AVANI Kalutara","30% Savings at Avani - Kalutara on double room bookings on full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/avani-kalutara-resort"
"Hotels","Earl’s Regent Hotel – Kandy","25% Savings at Earls Regent - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/earl-s-regent-hotel-kandy"
"Hotels","Water Garden Sigiriya","20% Savings at Water Garden Sigiriya on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/water-garden-sigiriya"
"Hotels","Villa Talay - Talalla","Up to 15% Savings at Villa Talay - Talalla with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-talay-talalla"
"Hotels","Sheraton","30% Savings at Sheraton Kosgoda Turtle Beach Resort on double room bookings on Bed & Breakfast, Half Board and Full Board Basis with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sheraton-kosgoda-turtle-beach-resort"
"Hotels","Villa Lagoonscape - Negombo","35% Savings on Full Villa bookings at Villa Lagoonscape - Negombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-lagoonscape-negombo"
"Hotels","Kixi Beach Villa - Talpe","35% Savings on villa bookings on bed & breakfast basis at Kixi Beach Villa - Talpe with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/kixi-beach-villa-talpe-2"
"Hotels","The Coast - Bentota","25% Savings on villa bookings on bed & breakfast basis at The Coast - Bentota with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-coast-bentota"
"Hotels","Villa De Jo Jo - Galle","30% Savings on double room bookings on bed & breakfast basis at Villa De Jo Jo - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-de-jo-jo-galle"
"Hotels","Villa 46","Up to 30% Savings at Villa 46 - Hikkaduwa with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-46"
"Hotels","Bilin Tree House - Galle","30% Savings at Bilin Tree House - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/bilin-tree-house-galle"
"Hotels","Green Casa - Galle","30% Savings double room bookings on bed & breakfast basis at Green Casa - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/green-casa-galle"
"Hotels","Chimneys - Nuwara Eliya","30% Savings on double & triple room bookings on bed & breakfast basis at Chimneys - Nuwara Eliya with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/chimneys-nuwara-eliya"
"Hotels","Wild Trail Yala","30% Savings on double room bookings on half board basis at Wild Trail Yala with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wild-trail-yala"
"Hotels","Grand Samudra - Tangalle","35% Savings on double & Quadriple room bookings on bed & breakfast basis at Grand Samudra - Tangalle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-samudra-tangalle"
"Hotels","Go to relivenet page","","","https://www.dfcc.lk#"
"Pinnacle","Spar Web Banners","25% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Pinnacle Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets-2"
